id,n,h,runtime
1,100,10,4
2,100,20,7
3,100,50,16
4,200,10,9
5,200,20,13
6,200,50,30
7,500,10,15
8,500,20,31
9,500,50,67
10,1000,10,27
11,1000,20,71
12,1000,50,127
13,1000,100,252
14,1000,200,502
15,1000,500,1254
16,2000,10,52
17,2000,20,106
18,2000,50,253
19,2000,100,496
20,2000,200,985
21,2000,500,2503
22,5000,10,127
23,5000,20,248
24,5000,50,606
25,5000,100,1220
26,5000,200,2456
27,5000,500,6163
28,10000,10,257
29,10000,20,511
30,10000,50,1540
31,10000,100,2813
32,10000,200,6034
33,10000,500,12068
34,10000,1000,24386
35,10000,2000,48162
36,10000,5000,138786
37,20000,10,522
38,20000,20,971
39,20000,50,2455
40,20000,100,4900
41,20000,200,9610
42,20000,500,26148
43,20000,1000,53218
44,20000,2000,96133
45,20000,5000,259490
46,50000,10,1622
47,50000,20,2440
48,50000,50,6410
49,50000,100,12403
50,50000,200,24302
51,50000,500,59755
52,50000,1000,119803
53,50000,2000,235248
54,50000,5000,591300
55,100000,10,2541
56,100000,20,4895
57,100000,50,12046
58,100000,100,23901
59,100000,200,47586
60,100000,500,118855
61,100000,1000,235617
62,100000,2000,467236
63,100000,5000,1147310
64,100000,10000,2288910
65,100000,20000,3923398
66,100000,50000,8088234
67,200000,10,5096
68,200000,20,9980
69,200000,50,24041
70,200000,100,48107
71,200000,200,94985
72,200000,500,240018
73,200000,1000,469246
74,200000,2000,944594
75,200000,5000,2238281
76,200000,10000,4200437
77,200000,20000,7036103
78,200000,50000,13042970
79,500000,10,13401
80,500000,20,26075
81,500000,50,63684
82,500000,100,125143
83,500000,200,250276
84,500000,500,627257
85,500000,1000,1233569
86,500000,2000,2457314
87,500000,5000,5810629
88,500000,10000,10542636
89,500000,20000,17204935
90,500000,50000,29435593
91,1000000,10,26866
92,1000000,20,52907
93,1000000,50,128873
94,1000000,100,256963
95,1000000,200,508970
96,1000000,500,1263553
97,1000000,1000,2532463
98,1000000,2000,4986298
99,1000000,5000,11875342
100,1000000,10000,21209649
101,1000000,20000,34370763
102,1000000,50000,56791547
103,1000000,100000,79256080
104,1000000,200000,113653377
105,1000000,500000,198391179
106,2000000,10,54168
107,2000000,20,105285
108,2000000,50,258669
109,2000000,100,512772
110,2000000,200,1032137
111,2000000,500,2559719
112,2000000,1000,5070832
113,2000000,2000,10097782
114,2000000,5000,23720184
115,2000000,10000,42229123
116,2000000,20000,69225718
117,2000000,50000,111647783
118,2000000,100000,152887400
119,2000000,200000,206703218
120,2000000,500000,331259794
121,5000000,10,135128
122,5000000,20,262517
123,5000000,50,651050
124,5000000,100,1306783
125,5000000,200,2563918
126,5000000,500,6401729
127,5000000,1000,13132317
128,5000000,2000,25979351
129,5000000,5000,60173429
130,5000000,10000,111537274
131,5000000,20000,179754396
132,5000000,50000,289455174
133,5000000,100000,386378452
134,5000000,200000,507788034
135,5000000,500000,738090434
